locality,property_type,bathrooms,bedrooms2,floor,furnished_status,brand_new,sqft,price
Alwal,Apartment,2,2,1,Furnished,Resale,1000,4730000
Amberpet,Apartment,3,3,1,Furnished,Resale,1475,10500000
Amberpet,Builder Floor Apartment,2,2,2,Semi-Furnished,Resale,845,3800000
Amberpet,Builder Floor Apartment,2,2,2,Semi-Furnished,Resale,935,4500000
Amberpet,Apartment,2,2,2,Furnished,Resale,1025,7000000
Amberpet,Residential House,4,3,1,Unfurnished,Resale,900,6500000
Amberpet,Apartment,2,2,2,Unfurnished,New Property,900,3200000
Amberpet,Apartment,3,3,1,Unfurnished,Resale,1575,6200000
Amberpet,Apartment,2,2,2,Semi-Furnished,Resale,1450,7000000
Amberpet,Apartment,2,2,5,Semi-Furnished,Resale,891,3500000
Amberpet,Residential House,4,3,1,Unfurnished,Resale,1600,8500000
Amberpet,Apartment,3,3,2,Semi-Furnished,Resale,1344,7200000
Amberpet,Builder Floor Apartment,2,1,2,Unfurnished,Resale,700,3500000
Amberpet,Builder Floor Apartment,2,2,1,Unfurnished,Resale,890,3800000
"Ameerpet, NH  9",Apartment,2,2,0,Semi-Furnished,Resale,990,7630000
"Ameerpet, NH  9",Apartment,3,3,4,Unfurnished,Resale,1500,11500000
"Ameerpet, NH  9",Apartment,2,2,5,Semi-Furnished,New Property,1218,9000000
"Ameerpet, NH  9",Apartment,3,3,5,Semi-Furnished,Resale,1020,6200000
"Ameerpet, NH  9",Apartment,2,2,0,Semi-Furnished,Resale,980,5500000
"Ameerpet, NH  9",Apartment,2,2,2,Semi-Furnished,Resale,1200,9500000
"Ameerpet, NH  9",Apartment,2,2,2,Semi-Furnished,Resale,900,7000000
"Ameerpet, NH  9",Apartment,2,2,2,Semi-Furnished,Resale,900,7000000
"Ameerpet, NH  9",Apartment,2,2,2,Furnished,Resale,1050,7100000
"Ameerpet, NH  9",Apartment,2,2,6,Unfurnished,Resale,1220,9150000
"Ameerpet, NH  9",Apartment,3,3,5,Furnished,New Property,1510,9600000
"Ameerpet, NH  9",Apartment,2,3,4,Semi-Furnished,Resale,1350,7500000
"Ameerpet, NH  9",Apartment,2,2,3,Furnished,Resale,776,6000000
"Ameerpet, NH  9",Apartment,2,3,5,Semi-Furnished,Resale,1360,8100000
"Ameerpet, NH  9",Apartment,2,2,3,Unfurnished,Resale,800,6000000
"Ameerpet, NH  9",Builder Floor Apartment,2,2,2,Unfurnished,Resale,900,4500000
Aminpur,Apartment,2,2,3,Unfurnished,New Property,1200,5280000
Aminpur,Apartment,2,3,4,Unfurnished,New Property,1220,8497700
Aminpur,Apartment,2,2,5,Unfurnished,Resale,700,4405482
Aminpur,Apartment,2,3,5,Unfurnished,Resale,1140,5160000
Aminpur,Apartment,2,2,3,Semi-Furnished,Resale,1010,5000000
Aminpur,Apartment,3,3,5,Furnished,Resale,1717,8600000
Aminpur,Apartment,2,2,4,Unfurnished,New Property,890,4972500
Aminpur,Apartment,3,3,7,Unfurnished,New Property,1225,4987500
Aminpur,Apartment,2,2,5,Unfurnished,New Property,918,4222800
Aminpur,Apartment,3,3,1,Semi-Furnished,New Property,1500,6750000
Aminpur,Apartment,2,2,2,Unfurnished,New Property,968,4535000
Aminpur,Apartment,2,2,5,Unfurnished,New Property,918,3901500
Aminpur,Apartment,2,2,6,Unfurnished,Resale,918,4800000
Aminpur,Apartment,2,2,2,Unfurnished,Resale,990,5000000
Aminpur,Apartment,2,2,5,Unfurnished,Resale,1210,6048790
Aminpur,Apartment,3,3,2,Unfurnished,Resale,1250,7800000
Aminpur,Apartment,3,3,2,Semi-Furnished,Resale,1420,8500000
Aminpur,Apartment,2,2,4,Semi-Furnished,Resale,1100,6000000
Aminpur,Residential House,2,2,0,Unfurnished,Resale,2200,13000000
Aminpur,Apartment,3,3,7,Semi-Furnished,Resale,1464,9900000
Aminpur,Apartment,2,2,4,Unfurnished,New Property,918,4500000
Aminpur,Apartment,2,2,0,Semi-Furnished,New Property,1080,4800000
Aminpur,Apartment,2,2,5,Unfurnished,Resale,918,4085100
Aminpur,Apartment,2,2,2,Semi-Furnished,New Property,1050,5100000
Aminpur,Apartment,2,2,1,Unfurnished,Resale,820,5000000
Aminpur,Builder Floor Apartment,2,2,1,Furnished,Resale,1150,6500000
Aminpur,Apartment,2,2,2,Semi-Furnished,Resale,882,5287500
Aminpur,Builder Floor Apartment,2,2,1,Unfurnished,Resale,1175,6550000
Aminpur,Apartment,2,2,5,Unfurnished,Resale,1150,5800000
Aminpur,Residential House,4,4,1,Unfurnished,Resale,2200,12000000
Aminpur,Apartment,2,3,4,Unfurnished,Resale,1565,6500000
Aminpur,Apartment,2,2,4,Unfurnished,Resale,1150,4400000
Aminpur,Apartment,3,2,1,Semi-Furnished,Resale,1330,5400000
Aminpur,Apartment,2,2,1,Unfurnished,Resale,750,4500000
